[INFO] step:    0/16586, total_loss: 7.988944, ctc_loss: 7.381105, rmse_loss: 0.121568, cer: 0.96, elapsed: 15.37s 0.28m 0.00h, lr: 0.000000
[INFO] step:  100/16586, total_loss: 5.688517, ctc_loss: 5.175443, rmse_loss: 0.102615, cer: 0.96, elapsed: 2.07s 3.37m 0.06h, lr: 0.000010
[INFO] step:  200/16586, total_loss: 4.474390, ctc_loss: 4.209694, rmse_loss: 0.052939, cer: 0.96, elapsed: 2.06s 6.49m 0.11h, lr: 0.000020
[INFO] step:  300/16586, total_loss: 4.137545, ctc_loss: 3.952019, rmse_loss: 0.037105, cer: 0.96, elapsed: 1.65s 9.61m 0.16h, lr: 0.000030
[INFO] step:  400/16586, total_loss: 3.921896, ctc_loss: 3.744438, rmse_loss: 0.035492, cer: 0.95, elapsed: 2.10s 12.89m 0.21h, lr: 0.000040
[INFO] step:  500/16586, total_loss: 3.302645, ctc_loss: 3.108905, rmse_loss: 0.038748, cer: 0.92, elapsed: 1.49s 15.96m 0.27h, lr: 0.000050
[INFO] step:  600/16586, total_loss: 3.055072, ctc_loss: 2.871244, rmse_loss: 0.036766, cer: 0.90, elapsed: 2.03s 19.03m 0.32h, lr: 0.000060
[INFO] step:  700/16586, total_loss: 2.618450, ctc_loss: 2.430741, rmse_loss: 0.037542, cer: 0.87, elapsed: 1.78s 22.10m 0.37h, lr: 0.000070
[INFO] step:  800/16586, total_loss: 2.476977, ctc_loss: 2.299106, rmse_loss: 0.035574, cer: 0.85, elapsed: 1.59s 25.20m 0.42h, lr: 0.000080
[INFO] step:  900/16586, total_loss: 2.481461, ctc_loss: 2.293509, rmse_loss: 0.037590, cer: 0.82, elapsed: 2.13s 28.36m 0.47h, lr: 0.000090
[INFO] step: 1000/16586, total_loss: 2.332222, ctc_loss: 2.142245, rmse_loss: 0.037996, cer: 0.81, elapsed: 1.52s 31.39m 0.52h, lr: 0.000100
[INFO] step: 1100/16586, total_loss: 2.163544, ctc_loss: 1.982260, rmse_loss: 0.036257, cer: 0.79, elapsed: 1.60s 34.40m 0.57h, lr: 0.000100
[INFO] step: 1200/16586, total_loss: 2.087211, ctc_loss: 1.903847, rmse_loss: 0.036673, cer: 0.77, elapsed: 2.12s 37.55m 0.63h, lr: 0.000100
[INFO] step: 1300/16586, total_loss: 1.878576, ctc_loss: 1.697985, rmse_loss: 0.036118, cer: 0.75, elapsed: 2.13s 40.65m 0.68h, lr: 0.000100
[INFO] step: 1400/16586, total_loss: 2.069896, ctc_loss: 1.891289, rmse_loss: 0.035721, cer: 0.74, elapsed: 1.93s 43.66m 0.73h, lr: 0.000100
[INFO] step: 1500/16586, total_loss: 1.804686, ctc_loss: 1.628727, rmse_loss: 0.035192, cer: 0.73, elapsed: 1.61s 46.74m 0.78h, lr: 0.000100
[INFO] step: 1600/16586, total_loss: 1.762018, ctc_loss: 1.581375, rmse_loss: 0.036128, cer: 0.71, elapsed: 2.05s 49.90m 0.83h, lr: 0.000100
[INFO] step: 1700/16586, total_loss: 1.960789, ctc_loss: 1.779778, rmse_loss: 0.036202, cer: 0.70, elapsed: 1.65s 53.04m 0.88h, lr: 0.000100
[INFO] step: 1800/16586, total_loss: 1.608505, ctc_loss: 1.434412, rmse_loss: 0.034819, cer: 0.69, elapsed: 2.32s 56.13m 0.94h, lr: 0.000100
[INFO] step: 1900/16586, total_loss: 1.558148, ctc_loss: 1.383470, rmse_loss: 0.034936, cer: 0.68, elapsed: 1.85s 59.29m 0.99h, lr: 0.000100
[INFO] step: 2000/16586, total_loss: 1.545463, ctc_loss: 1.368106, rmse_loss: 0.035471, cer: 0.67, elapsed: 2.16s 62.48m 1.04h, lr: 0.000100
