params : {'iterations': 700, 'depth': 4, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.37], train_time : 49.17
params : {'iterations': 1000, 'depth': 6, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.38, 0.36], train_time : 58.68
params : {'iterations': 900, 'depth': 4, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.38, 0.36], train_time : 28.47
params : {'iterations': 700, 'depth': 4, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.36], train_time : 30.58
params : {'iterations': 900, 'depth': 4, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.36], train_time : 35.89
params : {'iterations': 800, 'depth': 4, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.38, 0.36], train_time : 26.34
params : {'iterations': 600, 'depth': 4, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.37], train_time : 46.51
params : {'iterations': 1000, 'depth': 6, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 202.53
params : {'iterations': 600, 'depth': 6, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.37], train_time : 134.68
params : {'iterations': 100, 'depth': 4, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 50, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.69 , best_threshold : [0.49, 0.5], train_time : 10.79
params : {'iterations': 300, 'depth': 10, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 50, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.37], train_time : 406.31
