params : {'n_d': 4, 'n_a': 64, 'n_steps': 3, 'gamma': 1.7, 'momentum': 0.5, 'mask_type': 'entmax'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.34]
params : {'n_d': 4, 'n_a': 64, 'n_steps': 7, 'gamma': 1.5, 'momentum': 0.3, 'mask_type': 'sparsemax'} , cv_mean(best_f1) 0.71 , best_threshold : [0.33, 0.35]
params : {'n_d': 64, 'n_a': 4, 'n_steps': 7, 'gamma': 1.5, 'momentum': 0.5, 'mask_type': 'sparsemax'} , cv_mean(best_f1) 0.71 , best_threshold : [0.33, 0.34]
params : {'n_d': 4, 'n_a': 64, 'n_steps': 7, 'gamma': 1.3, 'momentum': 0.5, 'mask_type': 'sparsemax'} , cv_mean(best_f1) 0.72 , best_threshold : [0.34, 0.3]
params : {'n_d': 16, 'n_a': 64, 'n_steps': 7, 'gamma': 1.5, 'momentum': 0.5, 'mask_type': 'sparsemax'} , cv_mean(best_f1) 0.71 , best_threshold : [0.33, 0.37]
params : {'n_d': 64, 'n_a': 64, 'n_steps': 5, 'gamma': 1.7, 'momentum': 0.3, 'mask_type': 'sparsemax'} , cv_mean(best_f1) 0.72 , best_threshold : [0.33, 0.37]
params : {'n_d': 64, 'n_a': 16, 'n_steps': 7, 'gamma': 1.7, 'momentum': 0.3, 'mask_type': 'sparsemax'} , cv_mean(best_f1) 0.71 , best_threshold : [0.34, 0.35]
params : {'n_d': 64, 'n_a': 4, 'n_steps': 5, 'gamma': 1.3, 'momentum': 0.5, 'mask_type': 'sparsemax'} , cv_mean(best_f1) 0.72 , best_threshold : [0.33, 0.35]
params : {'n_d': 64, 'n_a': 64, 'n_steps': 3, 'gamma': 1.3, 'momentum': 0.5, 'mask_type': 'entmax'} , cv_mean(best_f1) 0.73 , best_threshold : [0.32, 0.32]
params : {'n_d': 4, 'n_a': 4, 'n_steps': 3, 'gamma': 1.5, 'momentum': 0.5, 'mask_type': 'entmax'} , cv_mean(best_f1) 0.73 , best_threshold : [0.34, 0.34]
params : {'n_d': 4, 'n_a': 64, 'n_steps': 7, 'gamma': 1.7, 'momentum': 0.5, 'mask_type': 'entmax'} , cv_mean(best_f1) 0.71 , best_threshold : [0.34, 0.36]
