params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 5, 'num_parallel_tree': 100, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 1, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.62 , best_threshold : [0.31, 0.3], train_time : 1.09
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 5, 'num_parallel_tree': 100, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 1, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.62 , best_threshold : [0.31, 0.3], train_time : 1.11
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 100, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 1, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.32, 0.32], train_time : 2.81
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 50, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 1, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.32, 0.3], train_time : 1.82
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 10, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 30, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.29, 0.28], train_time : 70.57
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 50, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 10, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.31, 0.32], train_time : 11.74
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 50, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 30, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.31, 0.31], train_time : 113.55
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 30, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.3, 0.29], train_time : 23.28
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 50, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 10, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.32, 0.31], train_time : 38.96
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 100, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.32, 0.32], train_time : 74.93
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 300, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 10, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.31, 0.33], train_time : 232.64
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 300, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.3, 0.31], train_time : 1001.70
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 300, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.3, 0.32], train_time : 288.31
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 10, 'num_parallel_tree': 300, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 1, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.33, 0.32], train_time : 86.79
